x;y;ap1_range;ap2_range;ap3_range;ap4_range;ap5_range;ap1_range_sq;ap2_range_sq;ap3_range_sq;ap4_range_sq;ap5_range_sq
4.7;6.5;482.7364678;843.1099917;288.8879027;1051.37321;1014.404108;233034.4973;710834.4581;83456.22033;1105385.627;1029015.694
4.7;7.5;589.8578842;1016.126747;209.1076436;1127.190015;882.1844453;347932.3236;1032513.566;43726.00661;1270557.33;778249.3955
4.7;8.5;678.5512234;1917.938067;129.2524911;1067.215674;1059.693654;460431.7628;3678486.429;16706.20646;1138949.295;1122950.64
4.7;9.5;634.2092501;2349.731403;179.8243005;828.3457676;950.680572;402221.3729;5521237.666;32336.77905;686156.7107;903793.55
4.7;10.5;834.9362811;2229.710066;253.9126566;770.3774204;644.3893001;697118.5935;4971606.978;64471.63718;593481.3699;415237.5701
4.7;11.5;865.293403;6671.495432;370.4962793;659.5426818;799.9413242;748732.6733;44508851.3;137267.493;434996.5491;639906.1222
4.7;12.5;887.7596783;12731.18154;613.2233963;645.9330728;593.5150452;788117.2464;162082983.4;376042.9338;417229.5345;352260.1089
4.7;13.5;1044.266838;17754.25775;608.1774494;491.2017037;574.702807;1090493.229;315213668.3;369879.81;241279.1137;330283.3164
4.7;14.5;1064.596417;49531.65941;713.2810599;484.4498199;738.572865;1133365.531;2453385284;508769.8704;234691.628;545489.8769
4.7;15.5;1134.462977;20886.87739;941.6312218;326.7982261;548.85962;1287006.246;436261647.1;886669.3579;106797.0806;301246.8825
4.7;16.5;1243.434715;14452.71214;673.7185893;228.0445866;698.1004094;1546129.89;208880888.2;453896.7376;52004.33348;487344.1816
4.7;17.5;1139.610065;41668.27641;923.8440249;209.2773053;552.3528446;1298711.1;1736245259;853487.7823;43796.99051;305093.6649
4.7;18.5;1211.425089;52037.74877;1038.299956;148.607206;372.6520268;1467550.746;2707927297;1078066.799;22084.10168;138869.5331
